iteration	shoreline	crops	herbaceous_wet	woody_wet	energy_tank	flight_cost_(kcal_per_hour)	flight_speed_(km_per_hour)	km_per_kcal	range_(km)
145	15712	60290	32579	29136	939	45	109	2.422222222222220	2274.466666666670000
146	28369	47158	9988	10257	1246	56	114	2.035714285714290	2536.500000000000000
147	5682	84472	19935	25818	1297	41	121	2.951219512195120	3827.731707317070000
148	46854	73589	31383	6115	1011	38	119	3.131578947368420	3166.026315789470000
149	28666	73523	30883	48276	917	51	117	2.294117647058820	2103.705882352940000
150	19232	89281	46101	4790	1270	40	44	1.100000000000000	1397.000000000000000
151	33808	85988	23041	35698	1072	40	60	1.500000000000000	1608.000000000000000
152	5013	49694	30353	21703	1280	56	56	1.000000000000000	1280.000000000000000
153	39636	90886	4924	25296	895	48	62	1.291666666666670	1156.041666666670000
154	47704	52388	13778	43503	1226	38	118	3.105263157894740	3807.052631578950000
155	27705	54020	28579	39297	1011	52	86	1.653846153846150	1672.038461538460000
156	43586	61713	29971	6893	1196	41	116	2.829268292682930	3383.804878048780000
157	35822	81349	11921	29276	989	53	91	1.716981132075470	1698.094339622640000
158	36863	49804	37565	38832	1299	43	99	2.302325581395350	2990.720930232560000
159	34674	108963	27558	46181	1187	53	78	1.471698113207550	1746.905660377360000
160	24692	76218	25999	20194	993	48	120	2.500000000000000	2482.500000000000000
161	23757	83017	39110	26597	1074	50	112	2.240000000000000	2405.760000000000000
162	28076	90925	34316	17627	1252	55	101	1.836363636363640	2299.127272727270000
163	6690	77976	34989	18062	981	40	94	2.350000000000000	2305.350000000000000
164	18380	85767	26206	31031	1043	55	54	0.981818181818182	1024.036363636360000
165	48076	73721	36722	5156	1237	50	69	1.380000000000000	1707.060000000000000
166	33291	51212	28072	18922	1027	40	89	2.225000000000000	2285.075000000000000
167	20978	102449	21374	3873	1254	49	74	1.510204081632650	1893.795918367350000
168	22102	109938	44530	18555	1046	40	57	1.425000000000000	1490.550000000000000
169	44116	79489	21873	48905	1362	47	52	1.106382978723400	1506.893617021280000
170	37767	70218	25908	7001	1431	41	85	2.073170731707320	2966.707317073170000
171	17227	53127	3701	16521	1038	51	113	2.215686274509800	2299.882352941180000
172	16575	54972	39269	19224	1290	53	92	1.735849056603770	2239.245283018870000
173	48207	104267	11397	25531	1006	54	46	0.851851851851852	856.962962962963000
174	26975	81056	46152	43609	938	54	66	1.222222222222220	1146.444444444440000
175	21909	71387	48291	8562	1211	45	49	1.088888888888890	1318.644444444440000
176	43044	99839	41369	16043	1186	53	115	2.169811320754720	2573.396226415090000
177	19719	70714	44987	15370	1078	47	62	1.319148936170210	1422.042553191490000
178	33039	77279	39382	42417	1380	42	116	2.761904761904760	3811.428571428570000
179	4741	110160	23484	21499	1233	41	43	1.048780487804880	1293.146341463410000
180	3767	104976	21077	26381	1317	41	84	2.048780487804880	2698.243902439020000
181	32918	63258	42600	22758	1284	56	108	1.928571428571430	2476.285714285710000
182	14046	90272	4784	13649	1367	51	48	0.941176470588235	1286.588235294120000
183	21926	109340	24049	19019	895	56	110	1.964285714285710	1758.035714285710000
184	30769	47140	26220	28473	1049	58	118	2.034482758620690	2134.172413793100000
185	11781	53165	37625	3773	1092	42	74	1.761904761904760	1924.000000000000000
186	5022	96570	37012	46273	1385	47	58	1.234042553191490	1709.148936170210000
187	41212	106695	26882	49228	1208	50	41	0.820000000000000	990.560000000000000
188	7651	72950	33084	23240	1410	42	60	1.428571428571430	2014.285714285710000
189	30564	76681	48095	4429	1149	47	68	1.446808510638300	1662.382978723400000
190	17469	64437	25156	30602	1259	40	63	1.575000000000000	1982.925000000000000
191	43087	89553	42796	44072	1084	45	95	2.111111111111110	2288.444444444440000
192	37882	92434	42721	40161	1248	58	102	1.758620689655170	2194.758620689660000
193	5896	101617	36674	22677	1014	42	79	1.880952380952380	1907.285714285710000
194	17032	88338	36195	30690	883	39	73	1.871794871794870	1652.794871794870000
195	7856	45160	3172	32036	1448	51	43	0.843137254901961	1220.862745098040000
196	13077	70449	8337	38160	1067	46	91	1.978260869565220	2110.804347826090000
197	35509	96085	9374	22710	1088	47	112	2.382978723404260	2592.680851063830000
198	4811	73728	21847	10877	1038	44	90	2.045454545454550	2123.181818181820000
199	17166	94786	22272	22350	1190	40	117	2.925000000000000	3480.750000000000000
200	13488	54014	27238	23005	1261	51	87	1.705882352941180	2151.117647058820000
201	32689	71947	13542	24417	1349	41	108	2.634146341463410	3553.463414634150000
202	32725	52312	45997	37777	1128	39	87	2.230769230769230	2516.307692307690000
203	27955	57835	46220	28093	1303	44	117	2.659090909090910	3464.795454545450000
204	17082	102578	28135	4336	1366	45	102	2.266666666666670	3096.266666666670000
205	27761	92845	24229	32099	1430	40	55	1.375000000000000	1966.250000000000000
206	43944	85142	40035	19982	1342	52	79	1.519230769230770	2038.807692307690000
207	42586	84646	35064	29715	1209	49	83	1.693877551020410	2047.897959183670000
208	30531	58702	20995	13375	1311	58	102	1.758620689655170	2305.551724137930000
209	34139	50843	28930	10612	1387	51	53	1.039215686274510	1441.392156862750000
210	29881	102241	11846	22446	955	52	92	1.769230769230770	1689.615384615380000
211	47942	97204	17507	9206	1195	58	50	0.862068965517241	1030.172413793100000
212	9561	54079	4164	6864	1123	44	50	1.136363636363640	1276.136363636360000
213	41048	102836	23817	13761	1348	53	65	1.226415094339620	1653.207547169810000
214	35941	97269	48312	42038	1025	56	83	1.482142857142860	1519.196428571430000
215	39852	48675	13925	32008	1423	51	101	1.980392156862750	2818.098039215690000
216	24101	77032	36972	39182	1044	42	99	2.357142857142860	2460.857142857140000
217	28952	108738	18702	31078	1323	51	61	1.196078431372550	1582.411764705880000
218	9596	56168	12831	15233	1269	40	109	2.725000000000000	3458.025000000000000
219	7662	64265	44881	22031	1316	45	44	0.977777777777778	1286.755555555560000
220	34339	64981	41333	6931	1309	52	119	2.288461538461540	2995.596153846150000
221	11753	66775	28036	12094	1263	53	98	1.849056603773580	2335.358490566040000
222	21489	71825	5680	31427	1365	49	98	2.000000000000000	2730.000000000000000
223	33946	83425	30870	7784	893	54	63	1.166666666666670	1041.833333333330000
224	36827	79816	48637	13559	1146	51	55	1.078431372549020	1235.882352941180000
225	33157	80366	29448	35011	1239	47	98	2.085106382978720	2583.446808510640000
226	16985	81134	12403	23615	1221	41	63	1.536585365853660	1876.170731707320000
227	21427	79226	34491	8123	1457	54	96	1.777777777777780	2590.222222222220000
228	23249	82003	27297	28082	1358	50	88	1.760000000000000	2390.080000000000000
229	36740	67529	4230	6951	903	38	58	1.526315789473680	1378.263157894740000
230	49152	86790	3419	10667	1061	41	50	1.219512195121950	1293.902439024390000
231	14056	52086	7603	43570	1211	46	93	2.021739130434780	2448.326086956520000
232	11294	109126	49015	34977	1144	45	69	1.533333333333330	1754.133333333330000
233	32429	104381	13125	20978	887	54	47	0.870370370370370	772.018518518518000
234	14074	95358	28671	32436	1200	52	95	1.826923076923080	2192.307692307690000
235	39180	56680	31101	20355	968	45	52	1.155555555555560	1118.577777777780000
236	14246	44445	41011	44820	1092	42	77	1.833333333333330	2002.000000000000000
237	39246	85419	38536	36837	891	42	45	1.071428571428570	954.642857142857000
238	15722	109606	12373	44645	1267	51	67	1.313725490196080	1664.490196078430000
239	43418	64237	5196	36793	1256	50	94	1.880000000000000	2361.280000000000000
240	38358	82728	19395	10724	1056	43	88	2.046511627906980	2161.116279069770000
241	8809	55619	22749	4541	1313	52	102	1.961538461538460	2575.500000000000000
242	17622	75954	43178	25699	1401	53	84	1.584905660377360	2220.452830188680000
243	39708	83587	21915	20961	1270	50	89	1.780000000000000	2260.600000000000000
244	31771	61842	16747	27240	1301	38	41	1.078947368421050	1403.710526315790000
245	32179	51976	38612	42041	1322	45	81	1.800000000000000	2379.600000000000000
246	24184	46860	4906	34785	1015	38	63	1.657894736842110	1682.763157894740000
247	6229	63166	40042	37725	909	53	48	0.905660377358491	823.245283018868000
248	5945	71116	31829	25357	1014	54	96	1.777777777777780	1802.666666666670000
249	9406	107908	3157	45245	1434	44	55	1.250000000000000	1792.500000000000000
250	45675	82257	28628	30866	915	55	106	1.927272727272730	1763.454545454550000
251	10121	51478	20755	44448	1157	53	42	0.792452830188679	916.867924528302000
252	18447	94834	9154	42729	985	46	61	1.326086956521740	1306.195652173910000
253	4769	98785	48217	14207	1272	44	77	1.750000000000000	2226.000000000000000
254	17083	102525	39504	30126	987	50	89	1.780000000000000	1756.860000000000000
255	5946	83140	3231	11205	962	45	108	2.400000000000000	2308.800000000000000
256	45842	51941	28812	12492	1326	40	88	2.200000000000000	2917.200000000000000
257	16874	102521	42074	30365	1042	57	111	1.947368421052630	2029.157894736840000
258	30601	58020	43855	23342	1060	44	76	1.727272727272730	1830.909090909090000
259	29704	63753	32902	25292	1235	50	101	2.020000000000000	2494.700000000000000
260	13466	47007	22796	14941	1136	51	87	1.705882352941180	1937.882352941180000
261	18622	75885	47729	4039	1444	42	91	2.166666666666670	3128.666666666670000
262	41232	83239	25957	11723	947	53	85	1.603773584905660	1518.773584905660000
263	17245	106783	33756	37323	1265	53	58	1.094339622641510	1384.339622641510000
264	8536	59010	31960	29160	1021	53	99	1.867924528301890	1907.150943396230000
265	5735	104133	40302	12846	1123	57	103	1.807017543859650	2029.280701754390000
266	18842	108482	7815	8847	924	50	96	1.920000000000000	1774.080000000000000
267	20859	81099	7774	39723	1402	49	70	1.428571428571430	2002.857142857140000
268	23789	61470	14147	43649	1025	41	76	1.853658536585370	1900.000000000000000
269	4922	96851	15726	43288	969	57	46	0.807017543859649	782.000000000000000
270	7298	63246	22053	37416	920	57	122	2.140350877192980	1969.122807017540000
271	11536	96567	46425	6959	983	38	85	2.236842105263160	2198.815789473680000
272	31263	81849	35228	48090	1260	41	86	2.097560975609760	2642.926829268290000
273	47073	82083	37249	20380	1119	45	104	2.311111111111110	2586.133333333330000
274	7554	74066	4154	38463	1236	54	101	1.870370370370370	2311.777777777780000
275	26108	54117	21180	45723	1289	49	70	1.428571428571430	1841.428571428570000
276	24154	104237	28381	47246	1447	49	74	1.510204081632650	2185.265306122450000
277	31374	89558	3294	29953	1117	49	54	1.102040816326530	1230.979591836730000
278	34363	93231	46635	16357	1348	55	108	1.963636363636360	2646.981818181820000
279	47445	88487	5838	31913	1168	40	121	3.025000000000000	3533.200000000000000
280	28178	44693	23216	48306	1096	55	59	1.072727272727270	1175.709090909090000
281	28463	47407	46720	19069	1451	53	110	2.075471698113210	3011.509433962260000
282	18989	75039	42750	13435	1298	58	96	1.655172413793100	2148.413793103450000
283	12542	92202	39923	38926	1275	54	62	1.148148148148150	1463.888888888890000
284	30626	105130	42850	7340	1285	52	49	0.942307692307692	1210.865384615380000
285	43340	109489	17531	14180	1083	40	113	2.825000000000000	3059.475000000000000
286	34970	63338	17418	12495	1079	48	88	1.833333333333330	1978.166666666670000
287	6680	102776	44862	5724	1208	56	91	1.625000000000000	1963.000000000000000
288	11794	52919	40028	7105	952	51	74	1.450980392156860	1381.333333333330000
289	22737	54887	31295	22940	1219	43	86	2.000000000000000	2438.000000000000000
290	41907	65248	10699	17047	953	52	49	0.942307692307692	898.019230769231000
291	18486	102968	17216	40789	1310	44	114	2.590909090909090	3394.090909090910000
292	7620	45301	20786	48120	1261	38	57	1.500000000000000	1891.500000000000000
293	24695	105849	5831	18921	1247	50	53	1.060000000000000	1321.820000000000000
294	47349	55586	25485	40705	1086	53	67	1.264150943396230	1372.867924528300000
295	31940	110032	48987	40896	1392	52	40	0.769230769230769	1070.769230769230000
296	7954	86706	29021	13782	1260	41	107	2.609756097560980	3288.292682926830000
297	20967	80325	45566	38448	1035	58	57	0.982758620689655	1017.155172413790000
298	35154	109198	21421	3116	1162	54	47	0.870370370370370	1011.370370370370000
299	10929	64917	28136	14506	1205	42	84	2.000000000000000	2410.000000000000000
300	15745	61859	30590	16235	1452	50	77	1.540000000000000	2236.080000000000000
301	29697	73998	7235	8727	1245	51	87	1.705882352941180	2123.823529411760000
302	37072	48765	24869	27330	1396	43	58	1.348837209302330	1882.976744186050000
303	11267	59729	25753	13510	1448	52	117	2.250000000000000	3258.000000000000000
304	45250	76622	9009	22123	1038	40	51	1.275000000000000	1323.450000000000000
305	32891	99768	22522	45449	1389	39	45	1.153846153846150	1602.692307692310000
306	26485	89278	29758	33561	1320	40	59	1.475000000000000	1947.000000000000000
307	34829	87087	34380	33317	1239	44	118	2.681818181818180	3322.772727272730000
308	6888	61665	14683	4378	1149	46	104	2.260869565217390	2597.739130434780000
309	36783	71882	29617	32371	1355	44	73	1.659090909090910	2248.068181818180000
310	45218	76941	45894	4277	1376	41	74	1.804878048780490	2483.512195121950000
311	41304	78652	31569	14579	1301	44	52	1.181818181818180	1537.545454545450000
312	24639	58759	8354	48278	1175	55	42	0.763636363636364	897.272727272727000
313	37066	60223	9095	26279	1160	39	115	2.948717948717950	3420.512820512820000
314	5495	44954	5063	17684	889	46	86	1.869565217391300	1662.043478260870000
315	35042	51297	44909	17078	1211	52	70	1.346153846153850	1630.192307692310000
316	40774	60684	39450	15880	1110	38	111	2.921052631578950	3242.368421052630000
317	20764	86412	48595	12234	973	38	57	1.500000000000000	1459.500000000000000
318	21043	57875	35181	11948	1387	42	107	2.547619047619050	3533.547619047620000
319	16814	50525	19418	31314	1391	42	96	2.285714285714290	3179.428571428570000
320	27535	58145	48261	17267	964	43	70	1.627906976744190	1569.302325581400000
321	40509	80411	21159	9964	918	43	44	1.023255813953490	939.348837209302000
322	12072	52712	13984	48408	958	56	43	0.767857142857143	735.607142857143000
323	42982	97935	15264	22853	980	46	84	1.826086956521740	1789.565217391300000
324	42734	59199	40029	24200	1134	47	71	1.510638297872340	1713.063829787230000
325	12110	105512	32741	17737	1349	57	50	0.877192982456140	1183.333333333330000
326	3599	49805	45070	25265	1199	57	75	1.315789473684210	1577.631578947370000
327	11499	62257	14106	18913	1424	55	78	1.418181818181820	2019.490909090910000
328	11757	63903	24691	42761	986	38	81	2.131578947368420	2101.736842105260000
329	29504	80056	20677	35699	1127	54	58	1.074074074074070	1210.481481481480000
330	38714	75736	32582	44206	1332	53	63	1.188679245283020	1583.320754716980000
331	31078	51191	17420	43228	1287	42	110	2.619047619047620	3370.714285714290000
332	21315	97110	21514	36447	956	46	51	1.108695652173910	1059.913043478260000
333	12593	84515	21946	32771	1458	45	116	2.577777777777780	3758.400000000000000
334	13226	106072	23460	3767	1063	42	53	1.261904761904760	1341.404761904760000
335	7686	64113	49267	6821	1432	54	116	2.148148148148150	3076.148148148150000
336	37930	53437	7343	36801	1121	58	51	0.879310344827586	985.706896551724000
337	7794	72191	48657	29445	1363	47	72	1.531914893617020	2088.000000000000000
338	28041	72947	24789	4772	1055	51	106	2.078431372549020	2192.745098039220000
339	13871	101844	18984	39225	1294	49	61	1.244897959183670	1610.897959183670000
340	22847	73187	46964	9811	1045	55	120	2.181818181818180	2280.000000000000000
341	21930	85812	7593	19472	1412	38	66	1.736842105263160	2452.421052631580000
342	35023	47448	12093	42324	1135	49	114	2.326530612244900	2640.612244897960000
343	31128	68938	41462	37629	1322	49	57	1.163265306122450	1537.836734693880000
344	29886	72026	5591	21234	1352	38	118	3.105263157894740	4198.315789473680000
345	15763	65206	4331	19781	1403	44	115	2.613636363636360	3666.931818181820000
346	40220	49975	49040	11113	898	54	104	1.925925925925930	1729.481481481480000
347	16429	49152	43085	38908	1042	40	108	2.700000000000000	2813.400000000000000
348	34582	46395	34154	20331	1187	49	121	2.469387755102040	2931.163265306120000
349	8617	96434	44333	6992	1384	51	116	2.274509803921570	3147.921568627450000
350	31107	107669	17586	35451	1107	57	84	1.473684210526320	1631.368421052630000
351	30859	92428	3830	35476	1230	49	77	1.571428571428570	1932.857142857140000
352	43056	77261	36100	25870	1329	40	118	2.950000000000000	3920.550000000000000
353	25859	82137	20390	45867	1404	53	41	0.773584905660377	1086.113207547170000
354	6151	54988	20378	17646	1183	55	65	1.181818181818180	1398.090909090910000
355	31959	59090	11258	31787	1177	44	51	1.159090909090910	1364.250000000000000
356	37810	106852	9800	6442	1151	58	68	1.172413793103450	1349.448275862070000
357	34113	96172	46487	8050	1440	49	89	1.816326530612240	2615.510204081630000
358	40122	51616	43909	32515	966	48	45	0.937500000000000	905.625000000000000
359	33026	107375	17718	28082	941	53	107	2.018867924528300	1899.754716981130000
360	16668	76844	5991	17125	1259	51	96	1.882352941176470	2369.882352941180000
361	28229	107915	12835	28383	1449	42	91	2.166666666666670	3139.500000000000000
362	33979	69231	42595	44151	1336	50	121	2.420000000000000	3233.120000000000000
363	46351	94178	33992	15408	923	50	58	1.160000000000000	1070.680000000000000
364	43792	46231	4415	37835	1392	46	121	2.630434782608700	3661.565217391300000
365	4184	73842	19074	11651	1442	40	84	2.100000000000000	3028.200000000000000
366	30836	99545	13961	42513	1333	55	79	1.436363636363640	1914.672727272730000
